ref_id	resolved_class	trace_blocker_if_any
STRG.115.5	j	
STRG.119.2	c	
STRG.125.6	c	
STRG.126.1	n	
STRG.126.2	j	
STRG.135.3	m	
STRG.148.1	c	
STRG.151.1	c	
STRG.151.2	c	
STRG.151.4	n	
STRG.151.5	c	
STRG.151.6	j	
STRG.155.5	c	
STRG.16.5	c	
STRG.168.2	j	
STRG.183.1	k	
STRG.192.4	c	
STRG.200.1	c	
STRG.208.2	c	
STRG.21.3	j	
STRG.210.1	j	
STRG.212.3	j	
STRG.217.3	c	
STRG.227.1	k	
STRG.231.8	c	
STRG.245.9	c	
STRG.248.10	c	
STRG.25.3	c	
STRG.251.1	j	
STRG.251.2	c	
STRG.251.4	c	
STRG.251.5	c	
STRG.251.8	k	
STRG.253.6	j	
STRG.277.2	c	
STRG.282.6	j	
STRG.29.2	k	
STRG.29.3	k	
STRG.29.4	j	
STRG.3.1	o	
STRG.300.1	c	
STRG.300.5	j	
STRG.300.6	c	
STRG.302.2	c	
STRG.302.4	c	
STRG.31.1	o	
STRG.311.1	c	
STRG.338.1	o	
STRG.348.4	c	
STRG.348.6	c	
STRG.352.1	c	
STRG.37.1	k	
STRG.409.4	c	
STRG.41.1	j	
STRG.412.1	c	
STRG.428.3	j	
STRG.432.1	c	
STRG.436.4	n	
STRG.440.3	j	
STRG.440.4	n	
STRG.440.5	c	
STRG.442.3	c	
STRG.442.6	c	
STRG.442.9	c	
STRG.445.4	c	
STRG.452.5	j	
STRG.453.2	c	
STRG.453.3	c	
STRG.453.4	c	
STRG.453.5	c	
STRG.456.3	c	
STRG.456.6	c	
STRG.46.2	k	
STRG.462.1	j	
STRG.462.5	j	
STRG.467.1	j	
STRG.488.1	j	
STRG.490.2	c	
STRG.503.1	k	
STRG.503.2	j	
STRG.503.4	j	
STRG.503.6	k	
STRG.511.3	c	
STRG.52.2	c	
STRG.53.1	c	
STRG.530.4	j	
STRG.555.5	m	
STRG.563.11	j	
STRG.566.10	j	
STRG.566.11	m	
STRG.566.9	j	
STRG.572.2	c	
STRG.575.1	o	
STRG.69.5	n	
STRG.79.1	c	
STRG.84.1	c	
STRG.93.3	j	
STRG.95.2	c	
STRG.96.3	j	
STRG.98.2	c	
